Input,Output
The table quotes the maximum tolerance for the hole.,The table gives the maximum tolerance for the hole.
Raise the landing gear.,Retract the landing gear.
Make sure that the extension bar reaches the target plate.,Make sure that the extension bar touches the target plate.
Reactivate the system.,Start the system again.
Avoid erroneous reading caused by exhaust from ground cart.,Make sure that the exhaust from the ground cart does not cause an incorrect indication.
Ready the removal kit for the removal of the strut.,Prepare the removal kit for the removal of the strut.
Make sure that the gauge shows the real quantity that is in the tank.,Make sure that the indication on the gauge agrees with the quantity that is in the tank.
"The pump is located on rib 3, rear of the front spar.","The pump is installed on rib 3, aft of the front spar."
Find the reason for the wrong indication.,Find the cause of the incorrect indication.
Reassemble the actuator.,Assemble the actuator again.
Rebuild the unit if necessary.,Assemble the unit. Use new parts if necessary.
The flange is recessed into the fuselage.,The flange is in a recess in the fuselage.
Recharge the fluid reservoir.,Fill the fluid reservoir.
Recheck the distance between the faces.,Measure the distance between the faces again.
Recheck the assembly filter for leakage.,Do a leakage check of the filter assembly again.
Recleat the tiedown cord.,Attach the tiedown cord with a cleat.
Reclose the compartment after servicing.,"After servicing, close the compartment again."
Recoil the probe wire back on the spool.,Wind the probe wire back on the spool.
Recondition the engine.,Do an overhaul of the engine.
Remove nut and bolt and recover washer.,"Remove the nut and the bolt, and collect the washer."
"If the symptoms recur, do a system test.","If the symptoms occur again, do a system test."
Recycle the component through a test.,Do one more test cycle of the component.
Reference is made to Chapter 20 for standard torque values.,Refer to chapter 20 for the standard torque values.
Refit the submarine.,"On the submarine, repair all damage and replace all worn parts."
The reticle image reflects on the bottom surface of the glass.,The reticle image makes a reflection on the bottom surface of the glass.
Regulate the electrical current.,Control the electrical current.
Regulation of temperature is automatic.,Temperature control is automatic.
Doublers reinforce the joint.,Doublers make the joint stronger.
Reinstall the cover after you adjust the unit.,Install the cover again after you adjust the unit.
Rejection is mandatory if the test proves the component to be defective.,Reject the component if the test is not satisfactory.
Withdraw the rod end from the relevant pivot.,Remove the rod end from the related pivot.
Install computer in relevant rack.,Install the computer in its rack.
Relieve the tension in the cable.,Release the tension in the cable.
Flags should remain out of view.,The flags must stay out of view.
Find the removable part of the barrel.,Find the part of the barrel that you can remove.
Renew the adhesive tape.,Use new adhesive tape.
Renovate all worn surfaces.,Repair all worn surfaces.
Repack the assembly in the box.,Put the assembly back in the box.
"If voltage drops repeatedly, adjust the voltage regulator.","If the voltage decreases again and again, adjust the voltage regulator."
Replenish the oil in the accumulator.,Add oil to the accumulator.
Reposition the flaps to FULL DOWN.,Move the flaps to the full down position.
The suction is represented by an altimeter reading.,The suction shows as an altimeter indication.
Make a request for external fire support.,Tell the fire service to help you.
Install clean filters if required.,"If necessary, install clean filters."
Reset indicator to a new position.,Set the indicator to a new position.
Install the bolts in respective positions.,Install the bolts in the correct positions.
The rest of these instructions only apply to aircraft with fuselage tanks.,The remaining instructions are applicable only to aircraft with fuselage tanks.
Rest the removed part on a clean surface.,Put the removed part on a clean surface.
Restore the pins to their location.,Put the pins back in their location.
Restrain all fluid flow.,Stop the fluid flow.
The valve restricts the airflow.,The valve keeps the airflow in limits.
"If there is no contamination, resume normal operation.","If there is no contamination, start the operation again."
Retouch missing enamel areas.,Apply enamel where it is missing.
"After the return of the ailerons to neutral, check that they are flush with the flaps.","After the ailerons go back to neutral, make sure that they are flush with the flaps."
The mixture is reusable.,You can use the mixture again.
"If the fuel sample reveals free water, drain the system.","If the fuel sample shows free water, drain the system."
Reverse the movement of the rod.,Move the rod in the opposite direction.
Rewind the cable on its reel.,Wind the cable back on its reel.
The fuel connector is in the right-hand wing.,The fuel connector is in the right wing.
"If seat cover is ripped, replace it.","If the seat cover is damaged, replace it."
Pump fluid into strut until pressure rises.,Use a pump to fill the strut with fluid until the pressure increases.
Use a rotational movement to align the gears.,Turn the gears to align them.
Make sure the area of the bond has sufficient roughness.,Make sure that the area of the bond is sufficiently rough.
Make sure you do not change the wire routes.,Make sure that you do not change the wire routing.
"If such failures become routine, replace the unit.","If such failures become usual, replace the unit."
Safety-clip the turnbuckle on the control rod.,Lock the turnbuckle on the control rod with a clip.
Safety-wire nut.,Safety the nut with wire.
Sanitize the mask assemblies.,Clean the mask assemblies with disinfectant.
Saturate the element for four hours.,Soak the element for four hours.
Antenna scans through 80 deg.,The antenna does a scan through 80 deg.
Scrap the removed seal.,Discard the removed seal.
Scrape off the old sealant.,Use a scraper to remove the remaining sealant.
Continue screwing the end fitting until it is in the correct position.,Continue to turn the end fitting until it is in the correct position.
Screw the straps to the panels.,Attach the straps to the panels with screws.
Search the surface for cracks.,Examine the surface for cracks.
Undo the bolts securing the unit.,Remove the bolts that attach the unit.
Check for security of components.,Make sure that the components are correctly attached.
"If control cable is seized in the pulley, release the cable tension.","If the control cable is caught in the pulley, release the cable tension."
"If flap control motor is seized, use the alternate mode.","If the flap control motor cannot turn, use the alternative mode."
This unit is separable into two parts.,You can disassemble this unit into two parts.
These two tracks are separate from the other two.,These two tracks are not connected to the other two.
The cap is separate from the coupling.,The cap is not attached to the coupling.
Virus contamination is a serious problem.,Virus contamination is an important problem.
Use gloves when handling parts with serrated edges.,Use gloves when you touch parts with edge serrations.
The radio master switch serves to control the bus bar.,The radio master switch controls the bus bar.
Do not change the setting.,Do not change the adjustment.
Let the sediment settle at the bottom of the tank.,Let the sediment collect at the bottom of the tank.
Make sure you do not sever the control cable.,Make sure that you do not cut the control cable.
Hydraulic fluid can cause severe skin problems.,Hydraulic fluid is dangerous for your skin.
Pull cables sharply to disengage.,Pull the cables quickly to disengage them.
Shield your eyes.,Put on goggles to prevent injury to your eyes.
Sight along the skin.,Look along the skin
Turn the knob to make the display go out of sight.,Turn the knob to make the display go out of view.
Silence the alarm bell.,Stop the alarm bell.
Use material 11-001 or a similar material.,Use material 11-001 or an equivalent material.
Simultaneous removal of the filter element and the filter housing is mandatory.,You must remove the filter element and the filter housing at the same time.
"Since Alodine is a dangerous material, be careful when you use it.","Be careful when you use alodine, because it is a dangerous material."
The trim control knob is situated on the control pedestal.,The trim control knob is installed on the control pedestal.
This indicates that the aircraft is skidding.,This shows that the aircraft is in a skid.
Slacken the control cables.,Release the tension in the control cables.
Slam-decelerate to ground idle.,Move the throttle quickly to the idle position.
Slide the computer horizontally to avoid damage.,Move the computer horizontally to prevent damage.
"If slight leakage is found, torque the connection to 4.0 Nm.","If the leakage is small, torque the connection to 4.0 Nm."
Move the adapter slightly forward.,Move the adapter a small distance forward.
Slip the carriage along the flap track.,Move the carriage along the flap track.
"If fuel or lubricating oil spills, clean the area immediately. You can slip and fall.","If fuel or lubricating oil spills, clean the area immediately. A wet surface is dangerous and can cause you to fall."
Slow down the screwing machine to prevent damage to fasteners.,Decrease the speed of the screwing machine to prevent damage to fasteners.
Towing in slushy areas must be avoided.,Do not tow in areas where there is slush.
Smooth the tape out.,Make the tape smooth.
Ensure that there is a snap when you fit the spring clip.,"When you attach the spring clip, make sure that you hear a click."
"If you bend this part too far, it will snap.","If you bend this part too far, it will break."
Lock the wheel so that it does not move.,Lock the wheel to prevent movement.
Do not allow foam to solidify.,Do not let the foam become solid.
"If the removal of the valve did not solve the problem, replace the unit.","If the removal of the valve was not the solution to the problem, replace the unit."
The rivet spacing is given in Fig. 401.,Refer to fig. 401 For the distance between rivets.
Wear goggles when using electrical equipment that sparks.,Put on goggles when you use electrical equipment which makes sparks.
Use specific tools to preclude the possibility of damage.,Use the special tools to prevent possible damage.
These products are specifically designed for plastic surfaces,These materials are specially made for plastic surfaces.
"If the speech is not audible, replace the unit.","If you cannot hear the voice, replace the unit."
Locate area of mercury spillage.,Find the area where there is mercury contamination.
Split casings must be replaced.,Replace damaged casings.
Make sure that the casing does not split when you apply the maximum test pressure.,Make sure that casing does not break when you apply the maximum test pressure.
Remove any spots from the carpet with soap and warm water.,Remove all stains from the carpet with soap and warm water.
Make certain that the pins do not spring out of the notch.,Make sure that the pins do not move out of the notch.
Before jacking up aircraft make sure that aircraft stability is ensured.,Make sure that the aircraft is stable before you lift it with jacks.
Allow V-bars to stabilize.,Let the v-bars become stable.
"If carpet is stained, clean with the Material No. 8.","If the carpet is dirty, clean it with material no. 8."
Stamp the test date on the cylinder neck.,Put the test date on the cylinder neck with the applicable stamp.
"On the starboard wing, move the ailerons up.","On the right wing, move the ailerons up."
Check the state of the unit.,Examine the condition of the unit.
"When the flyweights are stationary, do the test.","When the flyweights stop, do the test."
Sterilize the mask assemblies.,Clean the mask assemblies with disinfectant.
"If flap controls are stiff, check the flap control system","If the flap controls do not move easily, do a check of the flap control system."
Make sure the rotor still turns.,Make sure that the rotor continues to turn.
The fire extinguisher bottles store the agent Halon 1301 in liquid condition.,The fire extinguisher bottles contain the agent Halon 1301 in liquid condition.
Do not attempt to straighten bends in the cable.,Do not try to make the bends in the cable straight.
Do not strain bellows.,Do not put strain on the bellows.
Make certain that the sling does not strike the fuselage skin.,Make sure that the sling does not hit the fuselage skin.
The flag is striped red and white.,The flag has red and white stripes.
Bleed braking system by applying full strokes to hand pump handle.,"To bleed the braking system, operate the hand pump handle through its full travel."
Subject the system to suction.,Apply suction to the system.
Submit the metal particles to a laboratory for analysis.,Send the metal particles to a laboratory for analysis.
Lift the cover and subsequently pull the handle.,Lift the cover. Then pull the handle.
Suck out the debris.,Use suction to remove the unwanted material.
Blank disconnected lines with suitable plugs.,Put the correct plugs on the disconnected lines.
Make certain that someone provides adequate support during component disconnection.,Make sure that a person holds the component while you disconnect it.
Swap computers 1 and 2. Then do the test again.,Interchange the computers 1 and 2. Then do the test again.
Switch the setting to System Display.,Set the selector to “system display”.
Take the filter from the solvent.,Remove the filter from the solvent.
Make sure that you can hear the taped announcements.,Make sure that you can hear the recorded announcements.
Make sure the cables are taut,Make sure that the tension in the cables is correct.
This technique gives the best results.,This method gives the best results.
"This torque shaft cannot move inboard. Therefore, before you remove it, remove the outboard torque shaft.","This torque shaft cannot move inboard. Thus, before you remove it, remove the outboard torque shaft."
Do a thorough check of the hydraulic system.,Do a full check of the hydraulic system.
Put threaded end of rod in the fitting.,Put the end of the rod that has a thread in the fitting.
Make sure that the fuel tank is tight.,Make sure that the fuel tank is sealed.
Time the pressure decay.,Measure the time necessary for the pressure to decrease.
"To install the indicator, tip it rearward.","To install the indicator, tilt it rearward."
Disassemble the bypass valve and the dump valve together.,Disassemble the bypass valve and the dump valve at the same time.
Top up hydraulic reservoir as necessary.,Add fluid to the hydraulic reservoir as necessary.
Manually push the Ram Air Turbine toward the retracted position.,Manually push the ram air turbine in the direction of the retracted position.
Only trained personnel must operate the brakes.,Only approved personnel must operate the brakes.
Make sure the rate of fuel transfer from the wing tanks to the center tank is equal.,Make sure that the rate of movement of fuel from the wing tanks to the center tank is equal.
The couplings must be transferred to the new unit.,Move the couplings to the new unit.
The transition from full- rate operation to half- rate operation must occur immediately.,The change from full-rate operation to half-rate operation must occur immediately.
Make sure that the cable is not trapped.,Make sure that the cable is not caught.
The turnbuckle travels through a hole in the bulkhead.,The turnbuckle goes through a hole in the bulkhead.
Be careful when you treat printed circuit boards.,Be careful when you touch printed circuit boards.
Trip circuit breaker. ,Open the circuit breaker.
Apply a triple coat of primer.,Apply three layers of primer.
Check that indicator reading is true.,Make sure that the value shown on the indicator is correct.
Tuck headstrap into face piece.,Put the headstrap into the face piece.
"If you are unable to turn the pulley, make sure the pin is removed.","If you cannot turn the pulley, make sure that the pin is removed."
Make sure that the hydraulic fluid is uncontaminated.,Make sure that the hydraulic fluid is clean.
Uncouple the tow bar from the vehicle.,Disconnect the tow bar from the vehicle.
Install the cable through the guide tube under the cabin floor.,Install the cable through the guide tube below the cabin floor.
Place the container underneath the drain valve.,Put the container below the drain valve.
Do not undertake the test without precautions.,Do not start the test without precautions.
Avoid uneven fuel load about the aircraft centerline.,Make sure that the fuel load is equal on each side of the aircraft centerline.
Replace slide valve if its surface is uneven.,Replace the slide valve if its surface is rough.
Cure the sealant at a uniform temperature.,Cure the sealant at a constant temperature.
Ensure the two pistons extend uniformly.,Make sure that the two pistons extend equally.
"If rain repellent fluid is unintentionally sprayed onto a dry windshield, remove it using solvent.","If you accidentally spray rain repellent fluid onto a dry windshield, remove the fluid with a solvent."
An attendant must have an unobstructed view of the person inside the tank.,An attendant must have a clear view of the person in the tank.
"When you remove the cover, the contacts are unprotected.","When you remove the cover, the contacts have no protection."
"In these conditions, it is unsafe to remove cartridges from the fire extinguisher bottle.","In these conditions, it is dangerous to remove the cartridges from the fire extinguisher bottle."
Unscrew the end fitting to align the rigging holes.,Turn the end fitting to align the rigging holes.
Put ohmmeter upon a flat surface.,Put the ohmmeter on a flat surface.
"Upon UP selection, the hydraulic pressure should decrease.","When you set the lever to “up”, the hydraulic pressure must decrease."
Install bolts with heads in uppermost position.,Install the bolts with their heads up.
Up to this step the unit ignores all output signals.,"Until this step, the unit ignores all output signals."
The usage of incorrect thinners can cause problems.,Do not use incorrect thinners. This can cause problems.
Remove cover using a 1/2 inch wrench.,Use a 1/2 inch wrench to remove the cover.
Read the oxygen mask utilization instructions.,Read the instructions that tell you how to use the oxygen mask.
This procedure is only valid in digital mode.,This procedure is applicable only in digital mode.
The validity of this step is restricted to the application of the paint topcoat.,This step is applicable only when you apply the top layer of paint.
Fuel vapors are flammable.,Fuel fumes are flammable.
Incidence of the horizontal stabilizer is variable.,You can adjust the incidence of the horizontal stabilizer.
Vary the frequency and record the results.,Change the frequency and record the results.
Make sure that the tank is vented to atmosphere.,Make sure that the tank is open to the air.
Give a verbal message about the results to the chief.,Tell the chief about the results.
Make sure that you maintain verbal contact with an operator outside the tank.,Make sure that a person who is not in the tank can always hear you.
Get access via No. 6 break-in panel.,Get access through the no. 6 Break-in panel.
Do an inspection of the damage and of the immediate vicinity.,Do an inspection of the damage and of the adjacent area.
The bolt will be at 2 o'clock when viewed from the rear.,The bolt will be at the 2 o’clock position when you look at the pump from the rear.
It is vital to reset indicator to zero after test.,It is very important to set the indicator back to zero after the test.
Record the correct value if it is wanted.,"Record the correct value, if it is necessary."
"If the instructions warn of a dangerous pressure, do not open the container.","If the instructions give a warning about dangerous pressure, do not open the container."
Watch the speed indication for the duration of the test.,Monitor the speed indication continuously until the end of the test.
There is a point of weakness in the strut.,There is a weak point in the strut.
"If there are fuel weeps from the couplings, repair them.","If there is fuel leakage from the couplings, repair them."
This limit applies whether the aircraft is on the landing gear or on jacks.,This limit is applicable if the aircraft is on the landing gear or on jacks.
Do not open the housing whilst the electrical power is connected.,Do not open the housing while the electrical power is connected.
Examine the whole system to find the cause of interference.,Examine all of the system to find the cause of interference.
The generators produce a three-phase voltage whose frequency is proportional to the generator rotor speed.,The generators supply a three- phase voltage. The frequency of this voltage increases when the generator rotor speed increases.
Take special precautions in very windy conditions.,Obey these special precautions when there are strong winds.
Wire the hose to the fixture.,Attach the hose to the fixture with wire.
A filter prevents contamination of the components within the system.,A filter prevents contamination of the components in the system.
Be careful when you work near fuel tanks.,Be careful when you do work near fuel tanks.
Wrap the part in oilpaper.,Put the part in oilpaper.
Mark the bellcrank and shaft to prevent wrong installation.,Identify the bellcrank and shaft with marks to prevent incorrect installation.
"The nuts should be tightened, yet loose enough to remove by hand.","Tighten the nuts, but keep them sufficiently loose to remove them with your hand."
"Do not use your hands to prevent movement of the LP compressor. If you do, you can cause injury to yourself and damage to the equipment.","Do not use your hands to prevent movement of the LP compressor. If you do, the LP compressor can cause you injury and can cause damage to the equipment."
The control unit is installed abaft the flight compartment.,The control unit is installed aft of the flight compartment.
Examine the seal for abnormalities.,Examine the seal for defects.
The damper prevents abrupt movement of the control.,The damper prevents sudden movement of the control.
"In the absence of damage to the brackets, continue the procedure.","If none of the brackets are damaged, continue the procedure."
Measure the rate of absorption of the moisture by the silica gel.,Measure the time necessary for the silica gel to absorb the moisture.
The bin abuts the forward hinge surface.,The bin touches the forward hinge surface.
A value of 2 mm is acceptable.,A value of 2 mm is permitted.
"Before installation, make sure that the unit is acceptable.","Before installation, make sure that the unit is serviceable."
Rotate the cover until the jacks marked by + and - are accessible.,Turn the cover until you can get access to the jacks that have + and - marks.
Studs are available in different lengths to accommodate different thicknesses of skin.,Different lengths of studs let you attach different thicknesses of skin.
Calibrate test set according to manufacturer's instructions.,"To calibrate the test set, refer to the manufacturer's instructions."
All tools and equipment must be accounted for.,Make sure that you remove all tools and equipment.
"If water accumulates in filler line, drain it.","If water collects in the filler line, drain it."
The accuracy of the adjustment can vary.,The precision of the adjustment can change.
The computer acquires this data from five sensors.,The computer gets this data from five sensors.
Do the following actions:,Do the steps that follow:
"When the system is active, you will get a report.","When the system is on, you will get a report."
This activity is relevant to vertical installations.,This work is applicable to vertical installations.
Actuate the hand pump.,Operate the hand pump.
Actuate the pushbutton switch.,Push the pushbutton switch.
Monitor the actuation of the steering motor.,Monitor the operation of the steering motor.
This chapter gives additional information about safety,This chapter gives more information about safety.
Clean the surface to ensure there will be good adhesion.,Clean the surface to make sure that the bond is satisfactory.
Accomplish alignment of the brackets with the adjoining components.,Align the brackets with the adjacent components.
Open valve to admit nitrogen to the oleo strut,Open the valve to let nitrogen go into the oleo strut.
"For parking aircraft in adverse weather conditions, refer to Chapter 6.",Refer to chapter 6 for instructions on how to park in bad weather conditions.
It is advisable to retorque the bolts after 50 flight hours.,We recommend that you torque the bolts again after 50 flight hours.
Agitate the solution.,Shake the solution.
"When you install the antenna, the alignment arrow must point ahead.","When you install the antenna, the alignment arrow must point forward."
Allocate the various maintenance tasks to technicians.,Give the different maintenance tasks to the technicians
The maximum allowable difference is 5 mm.,The maximum permitted difference is 5 mm.
Make sure that the software is already installed in the repository,Make sure that the software is installed in the repository.
The routing of the cable loom may have been altered by the installation.,It is possible that the installation changed the routing of the cable loom.
Alternate between pilot’s and copilot’s instrument test.,Do the pilot’s instrument test and then the copilot’s test.
The Design Authority must approve any amendments you make to the Repair Scheme.,The design authority must give approval to changes that you make to the repair scheme.
"If there are metal chips among the sample solids, replace the pump.","If there are metal particles in the sample solids, replace the pump"
Analyze the oil sample.,Make an analysis of the oil.
The engine and all ancillary equipment use the same lubricant.,The engine and all auxiliary equipment use the same lubricant.
Make an annotation of the temperature on the Engine Record Card.,Write the temperature on the engine record card.
"Anytime you use the emergency pump, record the usage.","When you use the emergency pump, record the time of operation."
"If discoloration is apparent, replace the part.","If you see discoloration, replace the part."
The lower seal appears as the lower bearing is pulled down.,The lower seal comes into view when you pull the lower bearing down.
The application of sealant must be carried out with a wooden spatula.,Apply the sealant with a wooden spatula.
 Appoint two persons to be prepared to operate the fire extinguishers.,Tell two persons to be prepared to operate the fire extinguishers.
Shock loading of an engine may arise from a heavy landing.,A heavy landing can cause shock loading of the engine.
The arrangement of the inserts is related to the dimensions of the connector shell.,The configuration of the inserts is related to the dimensions of the connector shell.
Make the arrangements for the leak test.,Prepare for the leak test.
Arrest the pressure flow for 10 seconds.,Stop the pressure flow for 10 seconds.
The cotter pin arrests the girt bar.,A cotter pin holds the girt bar.
"To arrive at the correct value, set the switch to position 2.","To get the correct value, set the switch to position 2."
Ensure that there are no loose articles in the engine air intakes.,Make sure that there are no loose objects in the engine air intakes.
The pump did not operate as the shaft was broken.,The pump did not operate because the shaft was broken.
Ascertain that the light is off.,Make sure that the light is off.
Ask the local air traffic controller.,Speak to the local air traffic controller.
Carry out an assessment of the damage,Make an estimate of the damage.
Assign a code to each connector.,Give a code to each connector.
Retain the data to assist later stages.,Keep the data to help you with subsequent procedures.
Install the dump valve with associated gasket.,Install the dump valve and the correct gasket.
Remove the bolt and associated washer,Remove the bolt and its washer.
Ferrules must be used to assure correct location.,Use ferrules to make sure that the location is correct.
Refer to Table 7001 for information as to the construction of the pivot assembly.,Refer to table 7001 for information about how the pivot assembly is made.
"If you get an asymmetric result, do a rigging test.","If the result that you get is not symmetrical, do a rigging test."
Examine the attachment of the duct to the filter.,Make sure that the duct is correctly attached to the filter
Apply two coats of protective compound to prevent hydraulic fluid from attacking the sealant.,Apply two layers of protective compound to prevent hydraulic fluid damage to the sealant.
Pay attention to the results.,Monitor the results
Check the lines for audible leaks of air.,Listen for air from the lines.
Check aurally to ensure fluid flow.,Listen to make sure that the fluid flows.
Only authorized personnel are permitted to stay in this area.,Only approved persons are permitted to stay in this area.
"If the microswitch becomes unserviceable, deactivate the actuator to avert possible damage to the valve.","If the microswitch becomes unserviceable, do the deactivation procedure of the actuator to prevent damage to the valve."
Avoid pushing the seals.,Do not push the seals
The control unit is at the back.,The control unit is at the rear.
"If the sleeve is badly attached, adjust it.","If the sleeve is incorrectly attached, adjust it."
A fuel leak can cause the engine to operate badly.,Fuel leaks can decrease engine performance
Give temporary protection to areas of bared metal.,Give temporary protection to areas of bare metal.
Bear down on the surface of the patch to make sure that the parts bond correctly.,Apply weight on the surface of the patch to make sure that the parts bond correctly.
Increase pressure until the flow begins again.,Increase the pressure until the flow starts again.
"At the beginning of the lever movement, the microswitch will operate.","When the lever starts to move, the microswitch operates."
Make sure that the diameter of the hole is below the specified value.,Make sure that the diameter of the hole is less than the specified value
The fuel pump is beside the spar.,The fuel pump is adjacent to the spar.
Install the bigger bolts.,Install the larger bolts
Blank out the display.,Cancel the display.
Blot the surface with a towel.,Dry the surface with a towel.
Attach both ends of hose.,Attach the two ends of the hose.
Open door until it bottoms on the floor.,Open the door until it touches the floor
The display brightness is increased by turning the adjuster clockwise,Turn the adjuster clockwise to make the display brighter.
Broadcast the data on both channels.,Transmit the data on the two channels.
Brush the paint on.,Apply the paint with a brush.
"If the disk bursts, switch off the supply.","If the disk breaks, stop the supply."
You must take care when you work with high voltages.,Obey the safety precautions when you do work with high voltages.
These lines carry hydraulic pressure.,These lines transmit hydraulic pressure.
Catch the leakage in a graduated beaker.,Collect the leakage in a graduated beaker.
Fill the cavity between the patch and the adjacent structure with sealant,Fill the space between the patch and the adjacent structure with sealant.
"If you are not certain that the results are correct, do the test again","If you are not sure that the results are correct, do the test again."
Get the supervisor to certify repair.,Get approval from your supervisor for the repair.
The characteristics of these sealants prevent corrosion.,The properties of these sealants prevent corrosion.
Do not use this material because it doesn't have the right characteristics.,Do not use this material because it does not have the necessary qualities.
Charge the tank with 10 liters of methanol.,Fill the tank with 10 liters of methanol.
Check that it is safe to apply electrical power.,Make sure that it is safe to supply electrical power.
Check the valve for leakage.,Do a leakage check of the valve.
"If the enamel is chipped, replace the unit.","If the enamel is damaged, replace the unit."
Chock the wheels.,Put the chocks against the wheels.
In Table 1 there is a choice of adhesives which you are allowed to use.,Table 1 gives alternative adhesives which you can use.
Choose the hydraulic system that you will pressurize,Select the hydraulic system that you will pressurize.
Put a container (circa 5 liters) under the waste water outlet.,Put a container (approximately 5 liters) below the waste water outlet.
The pointer circles the dial.,The pointer moves around the dial.
Fasteners can be separated into four general classifications.,There are four general classes of fasteners.
Lift seat so that it clears track locks.,Lift the seat until it is away from the track locks
"When the solenoid clicks, the valve is open.","When the solenoid makes a click, the valve is open."
Do not use methyl ethyl ketone in close contact with flames or sparks.,Do not use methyl ethyl ketone near flames or sparks
Put the clinometer close to the fuselage centerline.,Put the clinometer near the fuselage centerline.
Coat battery cables with grease.,Apply a layer of grease to the battery cables.
Cock the rack hooks.,Set the rack hooks.
Code the cables.,Put a code on the cables.
Fasteners must coincide with holes in track.,The fasteners must align with the holes in the track.
Collapse the box.,Close the box.
The assembly must be color coded.,Identify the assembly with the correct color.
Color code the assemblies.,Put a color code on each of the assemblies.
Combine water and glycol.,Mix the water and the glycol.
Keep combustible materials at a minimum distance of 50 feet from the work area.,Keep flammable materials at a minimum distance of 50 feet from the work area.
Warning commences and indicators flash.,The warning starts and the indicators flash.
"At the commencement of test, monitor the results on the screen.","At the start of the test, monitor the results on the screen."
Make sure that you are in communication with ATC.,Make sure that air traffic control can hear you.
Make a comparison of the two readings.,Compare the two indications.
Compile a list of the required tools.,Make a list of the necessary tools.
Compile all log records for the components.,Collect all log records for the component.
The complete test results must be sent to the manufacturer.,Send all the test results to the manufacturer.
This indicates that servicing is complete.,This shows that servicing is completed.
"See 72-00-00, Testing 001 upon completion of this procedure.","At the end of this procedure, refer to 72-00-00, test 001."
Completion of the task will require two hours.,Two hours are necessary to complete this task.
This test procedure is complicated without the right equipment.,This test procedure is not easy without the correct equipment.
Do a comprehensive inspection of the fairing.,Do a full inspection of the fairing.
Each survival kit comprises these items.,Each survival kit contains these items.
"Before you put new oil in the system, it is compulsory to replace the filter.","Before you put new oil in the system, it is mandatory to replace the filter."
Weight must be concentrated on spar tip.,All the weight must be on the spar tip.
At the conclusion of the test you must switch to NORMAL.,"At the end of the test, set the switch to “NORMAL”."
These two procedures must be applied concurrently.,Do these two procedures at the same time.
"If the damage is confined to the middle treads, the tire is serviceable.","If the damage is only to the middle treads, the tire is serviceable."
"If possible, ground run engine to confirm indications.","If possible, do an engine ground run to make sure that you get the same indications."
"If there is a conflict between the two indicators, repeat the test.","If the two indications are different, do the test again"
"If flap extension does not conform to setting of flap control lever, do the rigging procedure again.","If the flap extension does not agree with the position of the flap control lever, do the rigging procedure again."
The accuracy of the gauges must be in conformity with the applicable quality standard.,The precision of the gauges must agree with the applicable quality standard.
These actions must be done consecutively.,Do these steps one after the other.
Clean your skin with a considerable quantity of water.,Clean your skin with a large quantity of water
Contamination of cabin air can be a considerable problem.,Contamination of cabin air can be an important problem.
Each antenna consists of three parts.,Each antenna has three parts.
This filter removes all contaminants from the air supply.,This filter removes all contamination from the air supply.
Filter the contaminated hydraulic fluid through a Class 5 filter.,Remove all contamination from the hydraulic fluid with a class 5 filter.
Remove the sensor to get access to the contiguous structure.,Remove the sensor to get access to the adjacent structure.
Pull the vehicle to a safe location where more conventional procedures can be applied.,Pull the vehicle to a safe area where you can use the standard procedures.
Let the temperature of the component cool to ambient.,Let the temperature of the component decrease until it is the same as the ambient temperature.
Copy the tail number on the record form.,Write the tail number on the record form.
Copy the data on the identification plate.,Make a copy of the data that is on the identification plate.
Make sure that the position of the clamp corresponds to the position recorded during the removal procedure,Make sure that the position of the clamp agrees with the position that you recorded during the removal procedure.
The corresponding caution light shall go off after 30 seconds.,The related caution light must go off after 30 seconds.
This procedure covers removal of the Constant Speed Drive (CSD).,This procedure includes the instructions to remove the Constant Speed Drive (CSD).
"When the relief valve cracks open, the pressure decreases.","When the relief valve opens, the pressure decreases."
"If a center ply is cracked, replace the windshield panel.","If there are cracks in the center ply, replace the windshield panel."
Clearance should be created by cutting the bracket.,Cut the bracket to make a clearance.
The condition of the radome is critical to its performance.,The condition of the radome is very important for its performance.
The radius of the curvature must be a minimum of 8 mm.,The radius of the curve must be a minimum of 8 mm.
Cycle actuator three times.,Operate the actuator through three cycles.
Disconnect the spring so as not to damage the rod.,Disconnect the spring to prevent damage to the rod.
There is a danger of fire.,There is a risk of fire.
Trip the circuit breaker to deactivate the landing gear system.,Open the circuit breaker to isolate the landing gear system.
Vacuum equipment deaerates the compound,The vacuum equipment removes the air from the compound.
"When the engine RPM decays to 500, stop the engine.","When the engine rpm decreases to 500, stop the engine."
The curing process of the compound can be decelerated by decreasing the heat applied.,"To make the curing process slower, decrease the heat that you apply to the compound."
"If you decide not to replace the existing unit, watch its temperature for at least 15 cycles.","If your decision is not to replace the unit, monitor its temperature for a minimum of 15 cycles."
There must be a decrease in pressure of more than 2 bar.,The pressure must decrease by more than 2 bar.
Turn the adjuster anticlockwise in decrements of 60 deg.,Turn the adjuster counterclockwise in increments of 60 deg.
Measure how deep the dent is with a straightedge and feeler gauges.,Measure the depth of the dent with a straightedge and feeler gauges.
The brake indicator defines the wear on the brake shoe.,The brake indicator gives the wear on the brake shoe.
Table 1 defines the flap angles.,The flap angles are specified in table 1.
Bars deflect to the right.,The bars move to the right side.
Ensure that deflection is 23 deg.,Make sure that the position is 23 deg.
The cover on the gun camera is deformed.,The cover on the gun camera is damaged.
De-ice the aircraft.,Remove the ice from the aircraft.
